Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
BRINP1,BMP/retinoic acid inducible neural specific 1,1620,"DBC1, DBCCR1, FAM5A",9,9q33.1,O60477,602865,Inhibits cell proliferation by negative regulation of the G1/S transition.,Functional,"Brinp1-deficient mice were shown to exhibit an increased density of parvalbumin-expressing interneurons, reduced social interaction, increased locomotor activity, and impairments in memory using two distinct knockout mouse models (Kobayashi et al., 2014; Berkowicz et al., 2016).",2,0,,0,,24528488,,27042284,
BRINP3,BMP/retinoic acid inducible neural specific 3,339479,"DBCCR1L, DBCCR1L1, FAM5C",1,1q31.1,Q76B58,618390,"Inhibits neuronal cell proliferation by negative regulation of the cell cycle transition. Promotes pituitary gonadotrope cell proliferation, migration and invasion, when overexpressed. May play a role in cell pituitary tumor development.",Functional,"Two non-overlapping homozygous deletions adjacent to the BRINP3 gene that overlapped with non-coding epigenetic marks were identified in unrelated ASD probands born to consanguineous families from the HMCA cohort (Schmitz-Abe et al., 2020).  Brinp3 -/- mice had previously been shown to exhibit marked changes in anxiety-response on the elevated plus maze and evidence of altered sociability (Berkowicz et al., 2016).",2,0,,0,,32820185,,,27826231
BRSK2,BR serine/threonine kinase 2,9024,"C11orf7, PEN11B, SAD1, SADA, STK29",11,11p15.5,Q8IWQ3,609236,"Serine/threonine-protein kinase that plays a key role in polarization of neurons and axonogenesis, cell cycle progress and insulin secretion.",Rare single gene variant,"A de novo loss-of-function variant in the BRSK2 gene was identified in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014), while a de novo in-frame deletion variant in this gene was observed in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014).  Hiatt et al., 2019 identified nine individuals with rare heterozygous variants in the BRSK2 gene that presented with a neurodevelopmental disorder characterized by speech delay, intellectual disability, motor delay, autism, and behavioral abnormalities.  Two additional de novo loss-of-function variants in this gene were identified in ASD probands from the SPARK cohort (Feliciano et al., 2019); in the same report, a meta-analysis of de novo variants in 4773 published ASD trios and 465 SPARK trios using TADA identified BRSK2 as an ASD candidate gene with a q-value  0.1.",4,0,,0,,25363760,,"30879638,31452935",25363768
BRWD3,bromodomain and WD repeat domain containing 3,254065,"BRODL, MRX93",X,Xq21.1,Q6RI45,300553,"The protein encoded by this gene contains a bromodomain and several WD repeats. It is thought to have a chromatin-modifying function, and may thus play a role in transcription.",Syndromic,"Variants in the BRWD3 gene are responsible for a form of X-linked intellectual disability associated with macrocephaly (Field et al., 2007; Tatton-Brown et al., 2017).  A review of 17 males with 12 distinct null variants and 2 partial gene deletions in BRWD3 demonstrated that behavioral issues were present in 75% of patients, with ASD observed in 3 patients and shyness in social situations observed in another 3 patients (Ostrowski et al., 2019).",3,0,,0,,17668385,,31714006,28475857
BST1,bone marrow stromal cell antigen 1,683,CD157,4,4p15.32,Q10588,600387,Bone marrow stromal cell antigen-1 is a stromal cell line-derived glycosylphosphatidylinositol-anchored molecule that facilitates pre-B-cell growth. The deduced amino acid sequence exhibits 33% similarity with CD38.,Multigenic CNV,"Two intronic SNPs in the BST1 gene were shown to have significantly higher allele frequencies in Japanese ASD cases compared to unaffected Japanese controls (rs4301112, OR=6.4, p=0.0007; and rs28532698, OR=6.2, p=0.0012) that remained significant after multiple testing correction in Yokoyama et al., 2015. BST1-knockout mice were shown to exhibit anxiety-related and depression-like behaviors, which could be rescued by anti-psychiatric drugs and oxytocin, in Lopatina et al., 2014. Higashida et al., 2017 demonstrated that social avoidance behavior in BST1-knockout mice could be rescued by intraperitoneal injection of oxytocin.",5,0,,1,29216786,26010484,,28340569,"24634087,24795584"
BTAF1,"RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)",9044,"MOT1, TAF(II)170, TAF172, TAFII170",10,10q23.32,O14981,605191,"This gene encodes a TAF (TATA box-binding protein-associated factor), which associates with TBP (TATA box-binding protein) to form the B-TFIID complex that is required for transcription initiation of genes by RNA polymerase II. This TAF has DNA-dependent ATPase activity, which drives the dissociation of TBP from DNA, freeing the TBP to associate with other TATA boxes or TATA-less promoters.",Rare Single Gene variant,"A rare duplication in the BTAF1 gene has been identified with ASD (Salyakina et al., 2011).",7,0,,0,,22016809,,26401017,"25363768,25574603,29754769,31209396,31452935"
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,8945,"BETA-TRCP, FBW1A, FBXW1, FBXW1A, FWD1, bTrCP, bTrCP1, betaTrCP",10,10q24.32,Q9Y297,603482,Substrate recognition component of a SCF (SKP1-CUL1-F-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins.  SCF(BTRC) mediates the ubiquitination of CTNNB1 and participates in Wnt signaling (PMIDs 12077367 and 12820959).,Rare single gene variant,"A de novo splice-site variant and a transmitted protein-truncating variant in the BTRC gene were observed in ASD probands from the Autism Sequencing Consortium (De Rubeis et al., 2014), while a de novo damaging missense variant in the same gene was identifed in an ASD proband from a multiplex family from the iHART cohort (Ruzzo et al., 2019).  TADA analysis of de novo and transmitted variants from iHART, the Simons Simplex Collection, the Autism Sequencing Consortium, and the Autism Genome Project in Ruzzo et al., 2019 identified BTRC as an ASD candidate gene with a false discovery rate (FDR) < 0.1.",2,0,,0,,25363760,,31398340,
C12orf57,Chromosome 12 open reading frame 57,113246,"C10, GRCC10, TEMTYS",12,12p13.31,Q99622,615140,"Function unknown; ubiquitously expressed in human tissues, with high expression in fetal brain. Temtamy syndrome (OMIM:218340), which is characterized by mental retardation with or without craniofacial dysmorphism, ocular coloboma, or abnormal corpus callosum, can be caused by homozygous or compound heterozygous mutation in the C12ORF57 gene.",Syndromic,"The same homozygous variant in the C12orf57 gene (c.1A>G; p.Met1?) was detected in ten affected individuals from four consanguineous families of Arab descent; all affected individuals presented with developmental delay/intellectual disability, autistic features, and hypoplasia or agenesis of the corpus callosum (Akizu et al., 2013).",11,0,,0,,23453666,,29383837,"23453665,23633300,24798461,25363768,25558065,27435318,27848944,28097321,31130284"
C15orf62,chromosome 15 open reading frame 62,643338,,15,15q15.1,A8K5M9,,This gene encodes for a protein of unknown function.,Rare single gene variant,"A de novo stop-loss variant in the C15orf62 gene was identified in an ASD proband from the Simons Simplex Collection in O'Roak et al., 2012. Targeted sequencing of 536 Chinese ASD probands and 1457 Chinese controls in Guo et al., 2017 detected a rare inherited loss-of-function variant in this gene in a Chinese ASD proband. Transmission and De Novo Association (TADA) analysis of a combined cohort consisting of Chinese ASD cases and controls, as well as ASD probands and controls from the Simons Simplex Collection and the Autism Sequencing Consortium, in Guo et al., 2017 identified C15orf62 as an ASD candidate gene with a PTADA of 0.003927.",2,0,,0,,22495309,,28831199,
C4B,complement component 4B,721,"CH, C4A, C4F, CO4, C4B1, C4B2, C4B3, C4B5, C4A13, C4A91, C4B12, CPAMD3",6,6p21.33,P0C0L5,120820,The encoded protein is part of the classical pathway of the complement system.,Genetic Association,"Genetic association has been found between the C4B gene and autism (Odell et al., 2005). As well, studies have found decreased plasma concentrations of the C4B protein in autistic patients.",6,2,"7760985,8118537",0,,15694999,"6401549,7541036",,30675382
CA6,carbonic anhydrase VI,765,CA-VI; GUSTIN; MGC21256,1,1p36.23,P23280,114780,The protein encoded by this gene is one of several isozymes of carbonic anhydrase.,Rare Single Gene variant,"Rare variants in the CA6 gene have been identified with autism (Bucan et al., 2009).",6,0,,0,,19557195,"10616163,6943587,8761494,9784398",18091364,
CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",773,"APCA, BI, CACNL1A4, CAV2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6",19,19p13.13,O00555,601011,"This gene encodes the pore-forming alpha-1A subunit, which is predominantly expressed in neuronal tissue, for voltage-dependent calcium channels. Mutations in this gene are associated with several neurological disorders: episodic ataxia, type 2 (OMIM 108500); migraine, familial hemiplegic, 1 (OMIM 141500); and spinocerebellar atxia 6 (OMIM 183086).",Rare single gene variant,"Variants affecting the CACNA1A gene were identified in affected individuals from four unrelated families presenting with a spectrum of cognitive impairment including intellectual disability, executive dysfunction, ADHD and/or autism, as well as childhood-onset epileptic encephalopathy with refractory absence epilepsy, febrile seizures, downbeat nystagmus and episodic ataxia (Damaj et al., 2015).",17,0,,1,26566276,25735478,,"26758833,26938441","23595603,25363768,27476654,27479843,28327206,28333917,29100083,30142438,30945278,31031587,31036916,31139143,32429945"
CACNA1B,calcium voltage-gated channel subunit alpha1 B,774,"BIII, CACNL1A5, CACNN, Cav2.2",9,9q34.3,Q00975,601012,"The protein encoded by this gene is the pore-forming subunit of an N-type voltage-dependent calcium channel, which controls neurotransmitter release from neurons. The encoded protein forms a complex with alpha-2, beta, and delta subunits to form the high-voltage activated channel. This channel is sensitive to omega-conotoxin-GVIA and omega-agatoxin-IIIA but insensitive to dihydropyridines.",Genetic association,"In a study of 20 unrelated children with variable phenotypes found to have gains in DNA copy number in the subtelomeric 9q34 region, seven were found to carry monogenic duplications encompassing the CACNA1B gene. Four of these children with monogenic CACNA1B duplications were diagnosed with ASD (Yatensko et al., 2012).",9,2,"19065143,20489179",0,,22890305,,,"21703448,23275889,25363760,28867142,30982612,31038196"
CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",775,"TS, CACH2, CACN2, CaV1.2, CCHL1A1, CACNL1A1",12,12p13.33,O95234,114205,This gene encodes an alpha-1 subunit of a voltage-dependent calcium channel. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization.,Syndromic,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, mutation of the CACNA1C gene has been found to be associated with Timothy syndrome, patients which all also fall under the category of ASD. In addition, several studies have shown a genetic association between the CACNA1C gene and schizophrenia as well as bipolar disorder.",47,4,"21926974,23453885,26204268,29483656",1,31334289,15454078,"11441182,8622942","15863612,16289402,17640527,17698014,18174367,18250309,18458091,18711365,19065143,19074970,20819988,21186355,21812127,23313911,23677916,23680436,23979604,25290268,25403839,25633834,27066530,29773754","21624971,21703448,22120178,23241247,23849776,24066114,24690944,25363768,26637798,26845707,27841880,30304534,31130284,31452935,31805042,31868578,31953239"
